latitude,longitude,year,avg_rainfall,max_rainfall,avg_temperature,max_temperature
24.5,65.0,2020,2.079795918367347,66.5,28.041102040816327,31.56
24.5,65.0,2021,0.5826301369863014,26.11,26.51882191780822,31.06
24.5,65.0,2022,1.587205479452055,73.0,26.61367123287671,30.43
24.5,65.0,2023,0.16307692307692306,5.68,23.026043956043956,25.81
24.5,65.625,2020,3.322326530612245,95.28,28.090326530612245,31.63
24.5,65.625,2021,0.9683835616438355,35.29,26.51980821917808,31.2
24.5,65.625,2022,2.3095890410958906,141.54,26.593890410958906,30.57
24.5,65.625,2023,0.09252747252747252,4.11,23.041208791208792,25.8
24.5,66.25,2020,3.6580000000000004,89.17,28.078489795918365,31.62
24.5,66.25,2021,1.1624383561643836,40.93,26.461671232876714,31.29
24.5,66.25,2022,2.4886301369863015,138.85,26.523808219178083,30.54
24.5,66.25,2023,0.048681318681318676,1.8,22.95010989010989,25.62
24.5,66.875,2020,3.5843265306122447,104.65,27.913183673469387,31.75
24.5,66.875,2021,1.0930136986301369,39.66,26.401013698630138,31.54
24.5,66.875,2022,2.2769863013698632,84.07,26.372000000000003,30.38
24.5,66.875,2023,0.03857142857142857,1.66,22.525934065934067,25.68
24.5,67.5,2020,3.258857142857143,184.5,27.864693877551023,33.99
24.5,67.5,2021,1.2279178082191782,130.85,26.852082191780823,34.26
24.5,67.5,2022,2.2131780821917806,98.54,26.510219178082192,32.55
24.5,67.5,2023,0.049780219780219785,1.72,22.305604395604394,27.4
24.5,68.125,2020,2.5457551020408165,131.51,28.383469387755103,35.65
24.5,68.125,2021,2.1004931506849314,297.06,27.382438356164386,35.14
24.5,68.125,2022,2.328767123287671,172.28,27.057013698630136,35.16
24.5,68.125,2023,0.07131868131868133,3.37,22.591978021978022,28.36
24.5,68.75,2020,2.5811020408163268,133.36,28.653428571428574,36.84
24.5,68.75,2021,2.1022191780821915,311.52,27.7166301369863,35.76
24.5,68.75,2022,2.3664109589041096,169.38,27.361671232876713,36.42
24.5,68.75,2023,0.07483516483516484,3.27,22.953406593406594,29.21
24.5,69.375,2020,2.5676734693877554,74.74,28.622816326530614,37.21
24.5,69.375,2021,2.0373150684931507,265.84,27.700191780821918,35.53
24.5,69.375,2022,2.387945205479452,128.98,27.39876712328767,36.68
24.5,69.375,2023,0.1156043956043956,2.66,22.850219780219778,29.56
24.5,70.0,2020,2.666122448979592,77.65,28.65473469387755,37.13
24.5,70.0,2021,1.7021917808219176,98.39,27.594465753424657,35.64
24.5,70.0,2022,2.300876712328767,68.63,27.360465753424656,36.93
24.5,70.0,2023,0.179010989010989,7.25,22.714615384615385,29.2
25.0,60.0,2020,0.26130612244897966,11.64,28.33216326530612,31.73
25.0,60.0,2021,0.6621917808219178,126.07,27.02613698630137,33.85
25.0,60.0,2022,0.5016438356164383,30.82,27.11567123287671,31.69
25.0,60.0,2023,0.2726373626373626,6.13,23.1956043956044,26.0
25.0,60.625,2020,0.19281632653061226,6.1,28.073469387755104,32.04
25.0,60.625,2021,0.4533698630136986,46.86,26.78030136986301,33.69
25.0,60.625,2022,0.5204931506849315,36.49,26.946246575342464,31.23
25.0,60.625,2023,0.2664835164835165,3.77,22.713516483516482,25.93
25.0,61.25,2020,0.21775510204081633,9.51,27.972571428571428,32.47
25.0,61.25,2021,0.420986301369863,30.26,26.62791780821918,33.39
25.0,61.25,2022,0.5246301369863013,41.07,26.772465753424658,31.69
25.0,61.25,2023,0.24164835164835166,3.47,22.086263736263735,26.09
25.0,61.875,2020,0.23151020408163264,12.33,28.014285714285716,32.42
25.0,61.875,2021,0.2962191780821918,25.18,26.547863013698628,33.05
25.0,61.875,2022,0.5386027397260275,37.0,26.71758904109589,31.31
25.0,61.875,2023,0.28637362637362634,4.11,22.066373626373625,26.13
25.0,62.5,2020,0.382,22.65,27.824285714285715,32.05
25.0,62.5,2021,0.2695342465753425,24.51,26.340328767123285,31.89
25.0,62.5,2022,0.7442191780821917,51.92,26.482246575342465,30.61
25.0,62.5,2023,0.40450549450549456,7.7,22.051428571428573,25.82
25.0,63.125,2020,0.5164489795918368,41.08,27.56612244897959,31.6
25.0,63.125,2021,0.34556164383561644,22.33,26.213753424657536,31.43
25.0,63.125,2022,1.0517260273972602,82.08,26.235726027397263,30.31
25.0,63.125,2023,0.48307692307692307,9.77,22.22175824175824,25.6
25.0,63.75,2020,0.6777142857142857,35.0,27.560081632653063,31.43
25.0,63.75,2021,0.35621917808219183,26.41,26.283232876712326,31.13
25.0,63.75,2022,1.148821917808219,65.68,26.192465753424656,30.05
25.0,63.75,2023,0.46681318681318684,8.14,22.453956043956044,25.51
25.0,64.375,2020,1.2126938775510205,48.65,27.72338775510204,31.6
25.0,64.375,2021,0.3955616438356164,28.32,26.407972602739726,32.52
25.0,64.375,2022,1.2096712328767123,45.23,26.24386301369863,30.55
25.0,64.375,2023,0.4263736263736264,9.33,22.4389010989011,25.64
25.0,65.0,2020,2.3879183673469386,81.01,27.6009387755102,31.32
25.0,65.0,2021,0.570054794520548,30.26,26.36679452054794,32.33
25.0,65.0,2022,1.6456986301369863,66.68,26.206438356164384,30.64
25.0,65.0,2023,0.3958241758241758,9.27,22.48868131868132,25.67
